Date,Open,High,Low,Close,Adj Close,Volume,pctChange,delta,EMA12,EMA26,MACD,MACD Signal,RSI,Stochastic,Stochastic SMA
2/2/15,91.129997,91.660004,88.610001,90.129997,90.129997,18865300,0.011787101,Up,96.99302286,100.1188236,-3.125800782,-1.944581793,29.45006189,9.641263372,17.71164953
2/3/15,91.650002,91.650002,89.900002,90.610001,90.610001,13447900,0.005325685,Up,96.01101949,99.4144664,-3.403446912,-2.236354817,32.39777562,15.52688689,12.94158841
2/4/15,90.989998,91.879997,89.480003,90,90,14643600,-0.00673216,Down,95.08624726,98.71709852,-3.63085126,-2.515254106,32.99355636,18.21749287,14.46188105
2/5/15,89.580002,89.839996,86.099998,87,87,28926200,-0.033333333,Down,93.84220922,97.8491653,-4.006956076,-2.8135945,29.47740829,14.79820399,16.18086125
2/6/15,87.110001,87.400002,85.419998,85.68,85.68,17587600,-0.015172414,Down,92.58648473,96.94774565,-4.36126092,-3.123127784,32.40638709,4.712052603,12.57591649
2/9/15,85.830002,86.75,85.470001,86,86,12109500,0.003734827,Up,91.57317938,96.13680153,-4.563622141,-3.411226655,31.83491644,1.314469227,6.941575274
2/10/15,87.010002,87.470001,86.519997,87.260002,87.260002,12043300,0.014651186,Up,90.90961363,95.47926082,-4.569647187,-3.642910762,26.94347153,2.932265062,2.986262297
2/11/15,87.580002,87.699997,85.82,86,86,12391900,-0.014439628,Down,90.15428846,94.77709335,-4.622804893,-3.838889588,15.16123967,9.302346274,4.516360188
2/12/15,85.599998,88.300003,85.550003,87.099998,87.099998,15177800,0.012790674,Up,89.68439762,94.20841962,-4.524022003,-3.975916071,19.30656845,2.932265062,5.055625466
2/13/15,88.199997,89.300003,87.650002,89.050003,89.050003,14665200,0.022388118,Up,89.58679845,93.82631469,-4.23951624,-4.028636105,24.95466022,8.523592518,6.919401285
2/17/15,88.779999,88.989998,86.699997,86.849998,86.849998,15191700,-0.024705277,Down,89.16575222,93.30955049,-4.143798264,-4.051668536,18.61561135,20.00002534,10.48529431
2/18/15,87.099998,87.43,86.5,86.739998,86.739998,7353600,-0.001266552,Down,88.79255927,92.82291697,-4.030357704,-4.04740637,22.96379728,8.898568762,12.47406221
2/19/15,86.809998,87.870003,86.709999,86.889999,86.889999,7604100,0.001729318,Up,88.49985769,92.38344156,-3.883583878,-4.014641872,27.27678981,20.06078418,16.31979276
2/20/15,87.25,87.290001,86.379997,86.639999,86.639999,7821700,-0.002877201,Down,88.21372558,91.95800137,-3.744275794,-3.960568656,40.77264801,22.34043394,17.09992896
2/23/15,86.510002,86.68,85.25,85.470001,85.470001,9367900,-0.013504132,Down,87.79161411,91.47740875,-3.685794647,-3.905613854,40.79306025,18.88546732,20.42889514
2/24/15,85.529999,85.529999,83.879997,84.690002,84.690002,15806300,-0.009125997,Down,87.31444301,90.97463788,-3.66019487,-3.856530057,33.19845313,3.318266962,14.84805607
